,text,MB,classification,classification_conf
0,"Since the original announcement, we have observed several new attacks using the same exploit (CVE-2013-0640) which drop other malware",since original announcement observed several new attack using exploit cve 2013 0640 drop malware,"['T1189', 'T1080', 'T1001', 'T1480', 'T1059']","[0.0067, 0.0064, 0.006, 0.0056, 0.0056]"
1,"To compromise the victims, the attackers used extremely effective social engineering techniques which involved sending malicious PDF documents to their targets.",compromise victim attacker used extremely effective social engineering technique involved sending malicious pdf document target,"['T1027', 'T1016', 'T1132', 'T1082', 'T1518']","[0.0126, 0.0057, 0.0053, 0.0052, 0.0052]"
2,The PDFs were highly relevant and well-crafted content that fabricated human rights seminar information (ASEM) and Ukraine-s foreign policy and NATO membership plans.,pdfs highly relevant well crafted content fabricated human right seminar information asem ukraine foreign policy nato membership plan,"['T1187', 'T1555', 'T1110', 'T1003', 'T1558']","[0.0065, 0.006, 0.0058, 0.0057, 0.0057]"
3,"These malicious PDF files were rigged with exploits attacking Adobe Reader versions 9, 10 and 11, bypassing its sandbox.",malicious pdf file rigged exploit attacking adobe reader version 9 10 11 bypassing sandbox,"['T1140', 'T1027', 'T1036', 'T1055', 'T1105']","[0.0135, 0.0054, 0.0052, 0.0052, 0.0052]"
4,"Once the system is exploited, a very small downloader is dropped onto the victim-s disc that-s only 20KB in size.",system exploited small downloader dropped onto victim disc 20kb size,"['T1027', 'T1140', 'T1573', 'T1001', 'T1482']","[0.0133, 0.0053, 0.0053, 0.0053, 0.0052]"
5,This downloader is unique per system and contains a customized backdoor written in Assembler.,downloader unique per system contains customized backdoor written assembler,"['T1059', 'T1559', 'T1546', 'T1205', 'T1071']","[0.0116, 0.0062, 0.0053, 0.0053, 0.0053]"
6,"When loaded at system boot, the downloader uses a set of mathematical calculations to determine the computer-s unique fingerprint, and in turn uses this data to uniquely encrypt its communications later.",loaded system boot downloader us set mathematical calculation determine computer unique fingerprint turn us data uniquely encrypt communication later,"['T1553', 'T1027', 'T1106', 'T1562', 'T1548']","[0.0134, 0.0054, 0.0053, 0.0052, 0.0052]"
7,"If the target system meets the pre-defined requirements, the malware will use Twitter (unbeknownst to the user) and start looking for specific tweets from pre-made accounts. ",target system meet pre defined requirement malware use twitter unbeknownst user start looking specific tweet pre made account,"['T1140', 'T1546', 'T1027', 'T1574', 'T1620']","[0.0118, 0.0059, 0.0053, 0.0053, 0.0053]"
8,These accounts were created by MiniDuke-s Command and Control (C2) operators and the tweets maintain specific tags labeling encrypted URLs for the backdoors.,account created miniduke command control c2 operator tweet maintain specific tag labeling encrypted url backdoor,"['T1547', 'T1546', 'T1012', 'T1218', 'T1037']","[0.0142, 0.0052, 0.0052, 0.0052, 0.0052]"
9,"These URLs provide access to the C2s, which then provide potential commands and encrypted transfers of additional backdoors onto the system via GIF files.",url provide access c2s provide potential command encrypted transfer additional backdoor onto system via gif file,"['T1056', 'T1003', 'T1562', 'T1112', 'T1070']","[0.0064, 0.0061, 0.0057, 0.0057, 0.0056]"
10,"Based on the analysis, it appears that the MiniDuke-s creators provide a dynamic backup system that also can fly under the radar – if Twitter isn-t working or the accounts are down, the malware can use Google Search to find the encrypted strings to the next C2.",based analysis appears miniduke creator provide dynamic backup system also fly radar twitter working account malware use google search find encrypted string next c2,"['T1486', 'T1083', 'T1119', 'T1049', 'T1006']","[0.0059, 0.0057, 0.0055, 0.0055, 0.0054]"
11,"Once the infected system locates the C2, it receives encrypted backdoors that are obfuscated within GIF files and disguised as pictures that appear on a victim-s machine.",infected system locates c2 receives encrypted backdoor obfuscated within gif file disguised picture appear victim machine,"['T1528', 'T1134', 'T1610', 'T1006', 'T1140']","[0.008, 0.0062, 0.0055, 0.0055, 0.0054]"
12,"Once they are downloaded to the machine, they can fetch a larger backdoor which carries out the cyberespionage activities, through functions such as copy file, move file, remove file, make directory, kill process and of course, download and execute new malware and lateral movement tools.",downloaded machine fetch larger backdoor carry cyberespionage activity function copy file move file remove file make directory kill process course download execute new malware lateral movement tool,"['T1018', 'T1480', 'T1016', 'T1087', 'T1497']","[0.0072, 0.0061, 0.006, 0.0058, 0.0056]"
13,"The final stage backdoor connects to two servers, one in Panama and one in Turkey to receive the instructions from the attackers.",final stage backdoor connects two server one panama one turkey receive instruction attacker,"['T1102', 'T1105', 'T1041', 'T1219', 'T1104']","[0.0119, 0.0057, 0.0054, 0.0054, 0.0053]"
14,"The cyber-attack was reportedly synchronized and coordinated, probably following extensive reconnaissance of the victim networks.",cyber attack wa reportedly synchronized coordinated probably following extensive reconnaissance victim network,"['T1027', 'T1036', 'T1083', 'T1119', 'T1016']","[0.0084, 0.0065, 0.0062, 0.0055, 0.0054]"
15," During the cyber-attacks, malicious remote operation of the breakers was conducted by multiple external humans using either existing remote administration tools at the operating system level or remote industrial control system (ICS) client software via virtual private network (VPN) connections.",cyber attack malicious remote operation breaker wa conducted multiple external human using either existing remote administration tool operating system level remote industrial control system ic client software via virtual private network vpn connection,"['T1518', 'T1568', 'T1562', 'T1543', 'T1132']","[0.011, 0.006, 0.0057, 0.0053, 0.0052]"
16, The companies believe that the actors acquired legitimate credentials prior to the cyber-attack to facilitate remote access.,company believe actor acquired legitimate credential prior cyber attack facilitate remote access,"['T1486', 'T1560', 'T1074', 'T1480', 'T1119']","[0.0123, 0.0057, 0.0054, 0.0053, 0.0052]"
