,text
0,"The MiniDuke Mystery: PDF 0-day Government Spy Assembler 0x29A Micro Backdoor | SecurelistSolutions for:Home ProductsSmall Business 1-50 employeesMedium Business 51-999 employeesEnterprise 1000+ employees by KasperskyCompanyAccountGet In TouchDark mode offEnglishRussianSpanishSolutionsHybrid Cloud SecurityLearn MoreInternet of Things & Embedded SecurityLearn MoreThreat Management and DefenseLearn MoreIndustrial CybersecurityLearn MoreFraud PreventionLearn MoreOther solutionsBlockchain SecurityKaspersky for Security Operations CenterIndustriesNational CybersecurityLearn MoreIndustrial CybersecurityLearn MoreFinance Services CybersecurityLearn MoreHealthcare CybersecurityLearn MoreTransportation CybersecurityLearn MoreRetail CybersecurityLearn MoreOther IndustriesTelecom CybersecurityBlockchain SecurityView allProductsKasperskyEndpoint Security for BusinessLearn MoreKasperskyEndpoint Detection and Response (EDR)Learn MoreKasperskyEDR OptimumLearn MoreKasperskyAnti Targeted Attack PlatformLearn MoreKasperskyManaged Detection and ResponseLearn MoreKasperskySandboxLearn MoreOther ProductsKaspersky Security for Mail ServerKaspersky Security for Internet GatewayKaspersky Embedded Systems SecurityKaspersky Hybrid Cloud Security for AWSKaspersky Hybrid Cloud Security for AzureView AllServicesKasperskyCybersecurity ServicesLearn MoreKasperskyAdaptive Online TrainingLearn MoreKasperskyPremium SupportLearn MoreKasperskyThreat IntelligenceLearn MoreKasperskyAPT Intelligence ReportingLearn MoreKasperskyTargeted Attack DiscoveryLearn MoreOther ServicesKaspersky Professional ServicesKaspersky Incident ResponseKaspersky Cybersecurity TrainingKaspersky Incident CommunicationsKaspersky Security AwarenessView AllResource CenterCase StudiesWhite PapersDatasheetsTechnologiesMITRE ATT&CKAbout UsTransparencyCorporate NewsPress CenterCareersInnovation HubSponsorshipPolicy BlogContactsGDPR Subscribe Dark mode offLoginSecurelist menuEnglishRussianSpanishExisting CustomersPersonalMy KasperskyRenew your productUpdate your productCustomer supportBusinessKSOS portalKaspersky Business HubTechnical SupportKnowledge BaseRenew LicenseHomeProductsTrials&UpdateResource CenterBusinessSmall Business (1-50 employees)Medium Business (51-999 employees)Enterprise (1000+ employees)SecurelistThreatsFinancial threatsMobile threatsWeb threatsSecure environment (IoT)Vulnerabilities and exploitsSpam and PhishingIndustrial threatsCategoriesAPT reportsIncidentsResearchMalware reportsSpam and phishing reportsPublicationsKaspersky Security BulletinArchiveAll TagsAPT LogbookWebinarsStatisticsEncyclopediaThreats descriptionsKSB 2021About UsCompanyTransparencyCorporate NewsPress CenterCareersSponsorshipsPolicy BlogContactsPartnersFind a PartnerPartner ProgramContent menuCloseSubscribeby Kaspersky Dark mode offThreatsThreatsAPT (Targeted attacks)Secure environment (IoT)Mobile threatsFinancial threatsSpam and phishingIndustrial threatsWeb threatsVulnerabilities and exploitsCategoriesCategoriesAPT reportsMalware descriptionsSecurity BulletinMalware reportsSpam and phishing reportsSecurity technologiesResearchPublicationsOther sectionsArchiveAll tagsWebinarsAPT LogbookStatisticsEncyclopediaThreats descriptionsKSB 2023  APT reportsThe MiniDuke Mystery: PDF 0-day Government Spy Assembler 0x29A Micro Backdoor APT reports27 Feb 2013  minute read								 AuthorsGReAT(or, how many cool words can you fit into one title)On Feb 12th 2013, FireEye announced the discovery of an Adobe Reader 0-day exploit which is used to drop a previously unknown, advanced piece of malware."
1,We called this new malware ?ItaDuke because it reminded us of Duqu and because of the ancient Italian comments in the shellcode copied from Dante Alighieri-s ?Divine Comedy.
2,"Since the original announcement, we have observed several new attacks using the same exploit (CVE-2013-0640) which drop other malware."
3,"Between these, we’ve observed a couple of incidents which are so unusual in many ways that we-ve decided to analyse them in depth."
4,"Together with our partner CrySyS Lab, we-ve performed a detailed analysis of these unusual incidents which suggest a new, previously unknown threat actor."
5,"For the CrySyS Lab analysis, please read [here]."
6,"For our analysis, please read below."
7,"Key findings include:• The MiniDuke attackers are still active at this time and have created malware as recently as February 20, 2013."
8,"To compromise the victims, the attackers used extremely effective social engineering techniques which involved sending malicious PDF documents to their targets."
9,The PDFs were highly relevant and well-crafted content that fabricated human rights seminar information (ASEM) and Ukraine-s foreign policy and NATO membership plans.
10,"These malicious PDF files were rigged with exploits attacking Adobe Reader versions 9, 10 and 11, bypassing its sandbox."
11,"• Once the system is exploited, a very small downloader is dropped onto the victim-s disc that-s only 20KB in size."
12,This downloader is unique per system and contains a customized backdoor written in Assembler.
13,"When loaded at system boot, the downloader uses a set of mathematical calculations to determine the computer-s unique fingerprint, and in turn uses this data to uniquely encrypt its communications later."
14,"• If the target system meets the pre-defined requirements, the malware will use Twitter (unbeknownst to the user) and start looking for specific tweets from pre-made accounts."
15,These accounts were created by MiniDuke-s Command and Control (C2) operators and the tweets maintain specific tags labeling encrypted URLs for the backdoors.
16,"These URLs provide access to the C2s, which then provide potential commands and encrypted transfers of additional backdoors onto the system via GIF files."
17,"• Based on the analysis, it appears that the MiniDuke-s creators provide a dynamic backup system that also can fly under the radar – if Twitter isn-t working or the accounts are down, the malware can use Google Search to find the encrypted strings to the next C2."
18,This model is flexible and enables the operators to constantly change how their backdoors retrieve further commands or malcode as needed.
19,"• Once the infected system locates the C2, it receives encrypted backdoors that are obfuscated within GIF files and disguised as pictures that appear on a victim-s machine."
20,"Once they are downloaded to the machine, they can fetch a larger backdoor which carries out the cyberespionage activities, through functions such as copy file, move file, remove file, make directory, kill process and of course, download and execute new malware and lateral movement tools."
21,"• The final stage backdoor connects to two servers, one in Panama and one in Turkey to receive the instructions from the attackers."
22,"• The attackers left a small clue in the code, in the form of the number 666 (0x29A hex) before one of the decryption subroutines:• By analysing the logs from the command servers, we have observed 59 unique victims in 23 countries:Belgium, Brazil, Bulgaria, Czech Republic, Georgia, Germany, Hungary, Ireland, Israel, Japan, Latvia, Lebanon, Lithuania, Montenegro, Portugal, Romania, Russian Federation, Slovenia, Spain, Turkey, Ukraine, United Kingdom and United States."
23,"For the detailed analysis and information on how to protect against the attack, please read: [The MiniDuke Mystery: PDF 0-day Government Spy Assembler 0x29A Micro Backdoor.PDF]AdobeAdobe PDFData EncryptionObfuscationTargeted attacksVulnerabilities and exploitsAuthorsGReATThe MiniDuke Mystery: PDF 0-day Government Spy Assembler 0x29A Micro Backdoor  Your email address will not be published."
24,"Required fields are marked *Name * Email *   Cancel Δ jaguar3217 							Posted on							March 13, 2017."
25,6:44 pm Is this really the number of the beast?
26,Is the feed logo like GIF image thing cursed?
27,"Reply GReAT webinars																		13 May 2021, 1:00pm								GReAT Ideas."
28,"Balalaika Edition Boris LarinDenis Legezo																		26 Feb 2021, 12:00pm								GReAT Ideas."
29,"Green Tea Edition John HultquistBrian BartholomewSuguru IshimaruVitaly KamlukSeongsu ParkYusuke NiwaMotohiko Sato																		17 Jun 2020, 1:00pm								GReAT Ideas."
30,"Powered by SAS: malware attribution and next-gen IoT honeypots Marco PreussDenis LegezoCostin RaiuKurt BaumgartnerDan DemeterYaroslav Shmelev																		26 Aug 2020, 2:00pm								GReAT Ideas."
31,"Powered by SAS: threat actors advance on new fronts Ivan KwiatkowskiMaher YamoutNoushin ShababPierre DelcherFélix AimeGiampaolo DedolaSantiago Pontiroli																		22 Jul 2020, 2:00pm								GReAT Ideas."
