,text,detection,confidence,classification,classification_conf
0,"Trickbot Adds Credential-Grabbing CapabilitiesBusinesssearchcloseSolutionsBy ChallengeBy ChallengeBy ChallengeLearn moreUnderstand, Prioritize & Mitigate RisksUnderstand, Prioritize & Mitigate RisksImprove your risk posture with attack surface managementLearn moreProtect Cloud-Native AppsProtect Cloud-Native AppsSecurity that enables business outcomesLearn moreProtect Your Hybrid WorldProtect Your Hybrid, Multi-Cloud WorldGain visibility and meet business needs with securityLearn moreSecuring Your Borderless WorkforceSecuring Your Borderless WorkforceConnect with confidence from anywhere, on any deviceLearn moreEliminate Network Blind SpotsEliminate Network Blind SpotsSecure users and key operations throughout your environmentLearn moreSee More.",False,0.7257,[],[]
1,Respond Faster.,True,0.682,"['T1115', 'T1129', 'T1123', 'T1219', 'T1125']","[0.0054, 0.0054, 0.0053, 0.0053, 0.0053]"
2,See More.,True,0.7959,"['T1115', 'T1615', 'T1482', 'T1069', 'T1123']","[0.0055, 0.0054, 0.0054, 0.0054, 0.0053]"
3,Respond Faster.,True,0.682,"['T1115', 'T1129', 'T1123', 'T1219', 'T1125']","[0.0054, 0.0054, 0.0053, 0.0053, 0.0053]"
4,"Move faster than your adversaries with powerful purpose-built XDR, attack surface risk management, and zero trust capabilitiesLearn moreExtend Your TeamExtend Your Team.",True,0.6758,"['T1562', 'T1553', 'T1036', 'T1543', 'T1489']","[0.0137, 0.0054, 0.0052, 0.0052, 0.0052]"
5,"Respond to Threats AgilelyMaximize effectiveness with proactive risk reduction and managed servicesLearn moreOperationalizing Zero TrustOperationalizing Zero TrustUnderstand your attack surface, assess your risk in real time, and adjust policies across network, workloads, and devices from a single consoleLearn moreBy RoleBy RoleBy RoleLearn moreCISOCISODrive business value with measurable cybersecurity outcomesLearn moreSOC ManagerSOC ManagerSee more, act fasterLearn moreInfrastructure ManagerInfrastructure ManagerEvolve your security to mitigate threats quickly and effectivelyLearn moreCloud Builder and DeveloperCloud Builder and DeveloperEnsure code runs only as intendedLearn moreCloud Security OpsCloud Security OpsGain visibility and control with security designed for cloud environmentsLearn moreBy IndustryBy IndustryBy IndustryLearn moreHealthcareHealthcareProtect patient data, devices, and networks while meeting regulationsLearn moreManufacturingManufacturingProtecting your factory environments – from traditional devices to state-of-the-art infrastructuresLearn moreOil & GasOil & GasICS/OT Security for the oil and gas utility industryLearn moreElectric UtilityElectric UtilityICS/OT Security for the electric utilityLearn moreFederalFederalLearn moreAutomotiveAutomotiveLearn more5G Networks5G NetworksLearn moreSmall & Midsized Business SecuritySmall & Midsized Business SecurityStop threats with comprehensive, set-it-and-forget-it protectionLearn morePlatformVision One PlatformVision One PlatformTrend Vision OneOur Unified PlatformBridge threat protection and cyber risk managementLearn moreAI CompanionTrend Vision One CompanionYour generative AI cybersecurity assistantLearn moreAttack Surface ManagementAttack Surface ManagementStop breaches before they happenLearn moreXDR (Extended Detection & Response)XDR (Extended Detection & Response)Stop adversaries faster with a broader perspective and better context to hunt, detect, investigate, and respond to threats from a single platformLearn moreCloud SecurityCloud SecurityTrend Vision One™Cloud Security OverviewThe most trusted cloud security platform for developers, security teams, and businessesLearn moreAttack Surface Risk Management for CloudAttack Surface Risk Management for CloudCloud asset discovery, vulnerability prioritization, Cloud Security Posture Management, and Attack Surface Management all in oneLearn moreXDR for CloudXDR for CloudExtend visibility to the cloud and streamline SOC investigationsLearn moreWorkload SecurityWorkload SecuritySecure your data center, cloud, and containers without compromising performance by leveraging a cloud security platform with CNAPP capabilitiesLearn moreContainer SecurityContainer SecuritySimplify security for your cloud-native applications with advanced container image scanning, policy-based admission control, and container runtime protectionLearn moreFile Storage SecurityFile Storage SecuritySecurity for cloud file/object storage services leveraging cloud-native application architecturesLearn moreEndpoint SecurityEndpoint SecurityEndpoint Security OverviewDefend the endpoint through every stage of an attackLearn moreXDR for EndpointXDR for EndpointStop adversaries faster with a broader perspective and better context to hunt, detect, investigate, and respond to threats from a single platformLearn moreWorkload SecurityWorkload SecurityOptimized prevention, detection, and response for endpoints, servers, and cloud workloadsLearn moreIndustrial Endpoint SecurityIndustrial Endpoint SecurityLearn moreMobile SecurityMobile SecurityOn-premises and cloud protection against malware, malicious applications, and other mobile threatsLearn moreNetwork SecurityNetwork SecurityNetwork Security OverviewExpand the power of XDR with network detection and responseLearn moreXDR for NetworkXDR for NetworkStop adversaries faster with a broader perspective and better context to hunt, detect, investigate, and respond to threats from a single platformLearn moreNetwork Intrusion Prevention (IPS)Network Intrusion Prevention (IPS)Protect against known, unknown, and undisclosed vulnerabilities in your networkLearn moreBreach Detection System (BDS)Breach Detection System (BDS)Detect and respond to targeted attacks moving inbound, outbound, and laterallyLearn moreSecure Service Edge (SSE)Secure Service Edge (SSE)Redefine trust and secure digital transformation with continuous risk assessmentsLearn moreIndustrial Network SecurityIndustrial Network SecurityLearn more5G Network Security5G Network SecurityLearn moreEmail SecurityEmail SecurityEmail SecurityStop phishing, malware, ransomware, fraud, and targeted attacks from infiltrating your enterpriseLearn moreEmail and Collaboration SecurityTrend Vision One™Email and Collaboration SecurityStop phishing, ransomware, and targeted attacks on any email service including Microsoft 365 and Google WorkspaceLearn moreOT SecurityOT SecurityOT SecurityLearn about solutions for ICS / OT security.",False,0.5714,[],[]
6,"Learn moreXDR for OTXDR for OTStop adversaries faster with a broader perspective and better context to hunt, detect, investigate, and respond to threats from a single platformLearn moreIndustrial Network SecurityIndustrial Network SecurityIndustrial Network SecurityIndustrial Endpoint SecurityIndustrial Endpoint SecurityLearn moreThreat IntelligenceThreat IntelligenceKeep ahead of the latest threats and protect your critical data with ongoing threat prevention and analysisLearn moreAll Products, Services, and TrialsAll Products, Services, and TrialsLearn moreResearchResearchResearchResearchLearn moreResearch, News, and PerspectivesResearch, News, and PerspectivesLearn moreResearch and AnalysisResearch and AnalysisLearn moreSecurity NewsSecurity NewsLearn moreZero Day Initiatives (ZDI)Zero Day Initiatives (ZDI)Learn moreServicesOur ServicesOur ServicesOur ServicesLearn moreService PackagesService PackagesAugment security teams with 24/7/365 managed detection, response, and supportLearn moreManaged XDRManaged XDRAugment threat detection with expertly managed detection and response (MDR) for email, endpoints, servers, cloud workloads, and networksLearn moreIncident ResponseIncident ResponseIncident ResponseOur trusted experts are on call whether you're experiencing a breach or looking to proactively improve your IR plansLearn moreInsurance Carriers and Law FirmsInsurance Carriers and Law FirmsStop breaches with the best response and detection technology on the market and reduce clients’ downtime and claim costsLearn moreSupport ServicesSupport ServicesLearn morePartnersPartner ProgramPartner ProgramPartner Program OverviewGrow your business and protect your customers with the best-in-class complete, multilayered securityLearn moreManaged Security Service ProviderManaged Security Service ProviderDeliver modern security operations services with our industry-leading XDRLearn moreManaged Service ProviderManaged Service ProviderPartner with a leading expert in cybersecurity, leverage proven solutions designed for MSPsLearn moreCloud Service ProviderCloud Service ProviderAdd market-leading security to your cloud service offerings – no matter which platform you useLearn moreProfessional ServicesProfessional ServicesIncrease revenue with industry-leading securityLearn moreResellersResellersDiscover the possibilitiesLearn moreMarketplaceMarketplaceLearn moreSystem IntegratorsSystem IntegratorsLearn moreAlliance PartnersAlliance PartnersAlliance OverviewWe work with the best to help you optimize performance and valueLearn moreTechnology Alliance PartnersTechnology Alliance PartnersLearn moreOur Alliance PartnersOur Alliance PartnersLearn morePartner ToolsPartner ToolsPartner ToolsLearn morePartner LoginPartner LoginLoginEducation and CertificationEducation and CertificationLearn morePartner SuccessesPartner SuccessesLearn moreDistributorsDistributorsLearn moreFind a PartnerFind a PartnerLearn moreCompanyWhy Trend MicroWhy Trend MicroWhy Trend MicroLearn moreCustomer Success StoriesCustomer Success StoriesLearn moreThe Human ConnectionThe Human ConnectionLearn moreIndustry AccoladesIndustry AccoladesLearn moreStrategic AlliancesStrategic AlliancesLearn moreCompare Trend MicroCompare Trend MicroCompare Trend MicroSee how Trend outperforms the competitionLet's govs. CrowdstrikeTrend Micro vs. CrowdstrikeCrowdstrike provides effective cybersecurity through its cloud-native platform, but its pricing may stretch budgets, especially for organizations seeking cost-effective scalability through a true single platformLet's govs. MicrosoftTrend Micro vs. MicrosoftMicrosoft offers a foundational layer of protection, yet it often requires supplemental solutions to fully address customers' security problemsLet's govs. Palo Alto NetworksTrend Micro vs. Palo Alto NetworksPalo Alto Networks delivers advanced cybersecurity solutions, but navigating its comprehensive suite can be complex and unlocking all capabilities requires significant investmentLet's goAbout UsAbout UsAbout UsLearn moreTrust CenterTrust CenterLearn moreHistoryHistoryLearn moreDiversity, Equity and InclusionDiversity, Equity and InclusionLearn moreCorporate Social ResponsibilityCorporate Social ResponsibilityLearn moreLeadershipLeadershipLearn moreSecurity ExpertsSecurity ExpertsLearn moreInternet Safety and Cybersecurity EducationInternet Safety and Cybersecurity EducationLearn moreLegalLegalLearn moreInvestorsInvestorsLearn moreFormula E RacingFormula E RacingLearn moreLatest NewsLatest NewsLatest NewsLearn moreNewsroomNewsroomLearn moreEventsEventsLearn moreCareersCareersLearn moreWebinarsWebinarsLearn moreBackBackBackBack		Free Trials			Contact Us	Looking for home solutions?",False,0.9589,[],[]
7,Under Attack?,True,0.766,"['T1056', 'T1115', 'T1036', 'T1555', 'T1003']","[0.0054, 0.0054, 0.0054, 0.0053, 0.0053]"
8,"6 AlertsBackUnreadAllTrend helps shield the world from Ransomware Threat Group LockBitcloseLearn more >Webinar: The SmartScreen VulnerabilitycloseIn-depth insights and protection strategies  >The Microsoft Defender SmartScreen VulnerabilitycloseThe facts, and why our customers are safe >2024 Security Predictions for the CloudcloseExploring cloud threats in 2024 from data poisoning of machine learning data to securing APIs >Global Security Trends: AI, Geopolitical Risks, and Zero TrustcloseTrend Micro's Chief Technology Strategy Officer explores what to watch for in 2024 >Understanding what generative AI means for cybersecuritycloseHow bad actors can use AI for key fraud opportunities >Support			Business Support Portal					Business Community					Virus and Threat Help					Education and Certification					Contact Support					Find a Support Partner		Resources			Trend Micro vs. Competition					Cyber Risk Index/Assessment					CISO Resource Center					DevOps Resource Center					What Is?",True,0.788,"['T1546', 'T1037', 'T1548', 'T1574', 'T1137']","[0.0116, 0.0057, 0.0057, 0.0053, 0.0052]"
9,Threat Encyclopedia					Cloud Health Assessment					Cyber Insurance					Glossary of Terms					Webinars		Log In			Vision One					Support					Partner Portal					Cloud One					Product Activation and Management					Referral Affiliate		Backarrow_backsearchcloseContent has been added to your Folio				Go to Folio (0)			closeMalwareTrickbot Adds Credential-Grabbing CapabilitiesTrickbot's authors clearly aren't done updating it  — we recently found a new variant that uses an updated version of the pwgrab module that lets it grab remote application credentials.,True,0.9822,"['T1102', 'T1505', 'T1219', 'T1105', 'T1021']","[0.014, 0.0052, 0.0052, 0.0052, 0.0052]"
